county_fips,county_name,state_abbr,state_fips,state_name,population_2020
01001,Autauga County,AL,01,Alabama,58805
01003,Baldwin County,AL,01,Alabama,231767
01005,Barbour County,AL,01,Alabama,25223
01007,Bibb County,AL,01,Alabama,22293
01009,Blount County,AL,01,Alabama,59134
01011,Bullock County,AL,01,Alabama,10357
01013,Butler County,AL,01,Alabama,19051
01015,Calhoun County,AL,01,Alabama,116441
01017,Chambers County,AL,01,Alabama,34772
01019,Cherokee County,AL,01,Alabama,24971
01021,Chilton County,AL,01,Alabama,45014
01023,Choctaw County,AL,01,Alabama,12665
01025,Clarke County,AL,01,Alabama,23087
01027,Clay County,AL,01,Alabama,14236
01029,Cleburne County,AL,01,Alabama,15056
01031,Coffee County,AL,01,Alabama,53465
01033,Colbert County,AL,01,Alabama,57227
01035,Conecuh County,AL,01,Alabama,11597
01037,Coosa County,AL,01,Alabama,10387
01039,Covington County,AL,01,Alabama,37570
01041,Crenshaw County,AL,01,Alabama,13194
01043,Cullman County,AL,01,Alabama,87866
01045,Dale County,AL,01,Alabama,49326
01047,Dallas County,AL,01,Alabama,38462
01049,DeKalb County,AL,01,Alabama,71608
01051,Elmore County,AL,01,Alabama,87977
01053,Escambia County,AL,01,Alabama,36757
01055,Etowah County,AL,01,Alabama,103436
01057,Fayette County,AL,01,Alabama,16321
01059,Franklin County,AL,01,Alabama,32113
01061,Geneva County,AL,01,Alabama,26659
01063,Greene County,AL,01,Alabama,7730
01065,Hale County,AL,01,Alabama,14785
01067,Henry County,AL,01,Alabama,17146
01069,Houston County,AL,01,Alabama,107202
01071,Jackson County,AL,01,Alabama,52579
01073,Jefferson County,AL,01,Alabama,674721
01075,Lamar County,AL,01,Alabama,13972
01077,Lauderdale County,AL,01,Alabama,93564
01079,Lawrence County,AL,01,Alabama,33073
01081,Lee County,AL,01,Alabama,174241
01083,Limestone County,AL,01,Alabama,103570
01085,Lowndes County,AL,01,Alabama,10311
01087,Macon County,AL,01,Alabama,19532
01089,Madison County,AL,01,Alabama,388153
01091,Marengo County,AL,01,Alabama,19323
01093,Marion County,AL,01,Alabama,29341
01095,Marshall County,AL,01,Alabama,97612
01097,Mobile County,AL,01,Alabama,414809
